"","carspeeds$`Postal code`","average_speed","stdev_speed"
"1",3001,21.0228637068333,2.76921877873388
"2",3000,23.7993167719716,5.86610985457468
"3",3050,24.8702396875417,5.75666538703205
"4",3053,27.1706703716644,6.16398522078166
"5",3010,27.6033127770833,7.10076878388795
"6",3065,29.5518661216877,8.42312585437891
"7",3066,30.7344104767814,9.49784366909465
"8",3051,31.1338732807954,10.6260919783572
"9",3181,31.2489826428742,9.63110791462655
"10",3056,31.2731153660694,9.49926347660211
"11",3002,31.3906931742604,7.99329031488203
"12",3141,31.5834027820318,9.84372244411538
"13",3205,31.6383529053515,7.47750827444775
"14",3006,31.9495683137852,9.61503945108243
"15",3008,32.164948641496,11.6104771322143
"16",3057,33.7322753173167,8.02229876433451
"17",3182,33.9661026499846,10.4824923417018
"18",3054,35.1824852310219,8.94709973494434
"19",3004,35.3903531633731,10.9927452045348
"20",3052,35.8610528556118,10.9314998875635
"21",3122,36.0067845212524,9.27527477695048
"22",3121,36.1090980828551,14.5135377053254
"23",3031,36.4342902415325,9.4791987295436
"24",3039,36.6392873306014,10.7811121386544
"25",3011,37.0023408203579,10.9666549587366
"26",3183,37.1404979272731,8.86377705309435
"27",3067,37.4163201246902,11.5561573702536
"28",3070,37.8344899004427,10.8579429664299
"29",3143,37.9527674769194,10.7624856239542
"30",3161,38.1970242526742,8.84756405164119
"31",3142,38.581164894838,10.858963933672
"32",3058,38.5845158880161,9.4470685808132
"33",3003,38.7255828775424,13.1473539672299
"34",3072,38.9576424645461,9.38768694033554
"35",3044,39.8337534981065,8.81172317249087
"36",3068,39.998915760975,10.0827120097314
"37",3128,40.1445768476296,10.1399581423741
"38",3185,40.3741859286322,12.8596754911777
"39",3163,40.7157380763559,10.9046525131808
"40",3124,40.9042447937239,10.5249234002724
"41",3071,40.9124406583869,11.1897090356715
"42",3144,40.933062041045,15.1233570320956
"43",3040,40.9590950566412,9.33436476234998
"44",3079,41.0760141314218,10.3062477250002
"45",3032,41.1687237080542,8.93487611371632
"46",3123,41.3095741144651,11.6279390292919
"47",3055,41.3971019370906,12.4004149062977
"48",3757,41.5443606051944,15.2509989273843
"49",3103,41.7923216440027,10.0617327606589
"50",3073,41.8906444593903,9.92005763150578
"51",3016,41.9383400432765,12.8472608918421
"52",3162,42.4060179791171,8.26362775015122
"53",3101,42.5503048531984,12.1275752344027
"54",3084,42.5937080901233,11.483686426202
"55",3146,42.7933360918667,11.7290658534054
"56",3019,42.9838610332579,7.48210804753399
"57",3127,43.0435297188841,9.15243542082345
"58",3145,43.3623090983695,12.2551005823784
"59",3207,43.4345272856403,14.0045193965305
"60",3081,43.6181888007303,8.73396994827632
"61",3204,43.9295165957071,10.545617799393
"62",3184,44.0896035723913,9.9437176995704
"63",3126,44.20314533285,8.67472524079068
"64",3018,44.4422200037851,13.120117282247
"65",3147,44.4865430696852,9.13935150268348
"66",3130,44.6668239715357,13.1678959371224
"67",3188,44.7945149634938,10.269395773117
"68",3020,44.8746954054335,15.6634700379623
"69",3160,44.9231881321,16.0386585207113
"70",3186,45.1367784432521,9.7836076907377
"71",3125,45.480619249625,9.49561738459429
"72",3013,45.5522769742344,11.9572632493826
"73",3166,45.6530013626667,12.387240461329
"74",3154,45.7254506777667,14.489390508676
"75",3089,45.7355384009944,8.837305950213
"76",3078,45.8474925110568,16.3684385001679
"77",3108,45.9930900645081,15.4266753913234
"78",3206,46.194323382495,8.58701709145932
"79",3174,46.2267041217173,13.5882599167463
"80",3012,46.3570675430658,14.062766519599
"81",3800,46.5783546498333,10.354825547193
"82",3191,46.5996516294649,9.31422729732328
"83",3134,46.6560278522751,15.7064512810608
"84",3090,46.90497220075,11.2945659063269
"85",3132,46.9385049451543,11.3641969525285
"86",3165,46.9415132640978,9.68715725287341
"87",3187,47.1566938327958,12.945342583493
"88",3095,47.2304281930913,9.5951685922643
"89",3137,47.3230160894545,10.4529671771434
"90",3171,47.5085724588954,11.8229446066091
"91",3791,47.8027929565417,12.1885491821803
"92",3082,48.1289874758712,9.42318198542805
"93",3943,48.34544013535,21.2417936179944
"94",3789,48.3563264846667,6.40278019096703
"95",3192,48.3689429615768,10.4059663954433
"96",3075,48.7493662232556,7.75550762486488
"97",3155,48.8626316734322,11.0772441852711
"98",3085,48.980581291375,8.30790642312908
"99",3939,49.0561704533774,14.2732693214885
"100",3046,49.2083099429333,14.4955149969164
"101",3150,49.2248908010781,14.9291152668362
"102",3168,49.3103108364583,10.7667885736028
"103",3149,49.4258327342384,14.6805227420609
"104",3015,49.5168518651701,14.1004356120838
"105",3107,49.5382027603651,9.5214663587643
"106",3083,49.5487325462378,14.6159422636919
"107",3086,49.6094097620833,5.76769278952184
"108",3153,49.6420946332778,11.9332170299649
"109",3113,49.6675035672778,14.538324657077
"110",3088,49.6961011461759,14.261837564619
"111",3167,49.8174730920784,8.99514587357072
"112",3104,49.8363219526636,17.7185606060355
"113",3029,49.9731311014528,11.1872002886151
"114",3021,50.0063161684459,13.6588978821754
"115",3074,50.0558666476019,16.3371690780333
"116",3189,50.244502402609,12.0182574653139
"117",3170,50.25327465305,16.2542975025107
"118",3024,50.4324160072361,10.0475632846981
"119",3060,50.7128491291611,10.8001504887724
"120",3087,50.7150788586146,12.8406837778459
"121",3169,50.7255187865857,9.71092406995593
"122",3194,50.7572580558203,11.367748868775
"123",3203,50.7843102955833,7.36567010403684
"124",3136,50.8301246566483,12.2250981120851
"125",3193,51.0487657528723,8.63380326491006
"126",3175,51.1218204927674,16.6685438710959
"127",3777,51.161279270325,19.4331508835998
